"","V1"
"1000",0.00292633874717163
"2000",0.00304954951904346
"3000",0.000890447101101532
"4000",0.00170308594085444
"5000",0.0011405485227578
"6000",0.00218136256484014
"7000",0.00138221947656492
"8000",0.000337041256977422
"9000",0.00248841843210723
"10000",0.000875818169246312
