"","V1"
"10000",0.00292117467408959
"20000",0.00257312243933727
"30000",0.00504094565126456
"40000",0.00684704789924195
"50000",0.00803376744113482
"60000",0.00879409134538811
"70000",0.00689716295809717
"80000",0.0101630804849533
"90000",0.00404629064318263
"1e+05",0.000979261689768585
"110000",0.000891355390423509
"120000",0.00409782412698467
"130000",0.00172245771360435
"140000",0.00314078459489631
"150000",0.00512895043420025
"160000",0.000265275424970568
"170000",0.00414482046921671
"180000",0.00162707823497188
"190000",0.00458900593086309
"2e+05",0.00798730940085557
"210000",0.0020925430958445
"220000",0.000704137792107762
"230000",0.00199555798476281
"240000",0.00410296542188959
"250000",0.00526153652196815
"260000",0.0039287112336428
"270000",0.00400933244305479
"280000",0.00153986360305236
"290000",0.00422245562096446
"3e+05",0.0035391065958339
"310000",0.00844158700369357
"320000",0.0016899775454764
"330000",0.000435135315688395
"340000",0.00121621227768642
"350000",0.00133598728010265
"360000",0.00647361068152863
"370000",0.00155727771876268
"380000",0.000856012388892324
"390000",0.00151727905220378
"4e+05",0.00307472601675363
"410000",0.00174584934291699
"420000",0.00221147258117016
"430000",0.0022126663551707
"440000",0.00483368293425812
"450000",0.00291141689968866
"460000",0.00176555130620315
"470000",0.000274516481444387
"480000",6.86576667621175e-05
"490000",0.00158776804207372
"5e+05",0.00374245314726496
"510000",0.0020025760716349
"520000",0.00260448932305568
"530000",0.00316703304600585
"540000",0.00129373061207128
"550000",7.87115312701481e-05
"560000",0.00164256010136565
"570000",0.00411326439396431
"580000",0.00349322966754828
"590000",0.00377749332453892
"6e+05",0.00124038678583771
"610000",0.000333091305281918
"620000",0.000155634552046369
"630000",0.00147555662556531
"640000",0.00360051826731667
"650000",0.00104872176359594
"660000",0.0028043324634055
"670000",0.000708622971159034
"680000",0.00277055160844197
"690000",7.04045994304181e-06
"7e+05",0.00239402078345519
"710000",0.00173154082744187
"720000",0.00154025336267649
"730000",0.00187277661687313
"740000",0.00149105800527849
"750000",0.000535698676007001
"760000",0.000712024992495675
"770000",0.00175890603942541
"780000",0.00133075161956064
"790000",0.000452162011273405
"8e+05",0.000811103325434104
"810000",0.00293230920066057
"820000",0.00222226830668104
"830000",0.000937547857986054
"840000",0.00200480255467284
"850000",0.00222788731559032
"860000",0.000338705490145585
"870000",0.00221157850824305
"880000",0.00136981153878901
"890000",0.000113389020983679
"9e+05",0.000396877794905492
"910000",0.00230000248847517
"920000",0.00018612222698744
"930000",0.00122653025161279
"940000",0.0028259124192096
"950000",0.0015907287506618
"960000",0.000757136027379701
"970000",0.00272924461845925
"980000",0.00100365180367268
"990000",0.000680396802022365
"1e+06",0.00474975989371407
